caution_ranking,to_remove,id,author,quote
3,,1,John Keats,"Beauty is truth, truth beauty,--that is all Ye know on earth, and all ye need to know."
2,,2,John Keats,I am certain of nothing but the holiness of the Heart's affections and the truth of the Imagination.
4,,3,John Keats,What the imagination seizes as beauty must be truth.
2,,4,John Keats,"I never can feel certain of any truth, but from a clear perception of its beauty."
2,,5,John Keats,I love you the more in that I believe you had liked me for my own sake and for nothing else.
4,,6,John Keats,Love is my religion - I could die for it.
4,,7,John Keats,"You are always new, the last of your kisses was ever the sweetest."
2,x,8,John Keats,I almost wish we were butterflies and liv'd but three summer days - three such days with you I could fill with more delight than fifty common years could ever contain.
4,,9,John Keats,My love is selfish. I cannot breathe without you.
3,,10,John Keats,"Now a soft kiss - Aye, by that kiss, I vow an endless bliss."
2,,11,John Keats,I have so much of you in my heart.
5,x,12,John Keats,I cannot exist without you - I am forgetful of every thing but seeing you again - my Life seems to stop there - I see no further. You have absorb'd me.
2,,13,John Keats,A thing of beauty is a joy forever: its loveliness increases; it will never pass into nothingness.
3,,14,John Keats,"With a great poet the sense of Beauty overcomes every other consideration, or rather obliterates all consideration."
2,,15,Emily Dickinson,"Truth is so rare, it is delightful to tell it."
4,,16,Emily Dickinson,Tell all the truth but tell it slant--
