caution_ranking,to_remove,id,author,quote,char_count
3,x,1,John Keats,"Beauty is truth, truth beauty,--that is all Ye know on earth, and all ye need to know.",86
2,,2,John Keats,I am certain of nothing but the holiness of the Heart's affections and the truth of the Imagination.,100
4,x,3,John Keats,What the imagination seizes as beauty must be truth.,52
2,,4,John Keats,"I never can feel certain of any truth, but from a clear perception of its beauty.",81
2,,5,John Keats,I love you the more in that I believe you had liked me for my own sake and for nothing else.,92
4,x,6,John Keats,Love is my religion - I could die for it.,41
4,x,7,John Keats,"You are always new, the last of your kisses was ever the sweetest.",66
2,x,8,John Keats,I almost wish we were butterflies and liv'd but three summer days - three such days with you I could fill with more delight than fifty common years could ever contain.,167
4,x,9,John Keats,My love is selfish. I cannot breathe without you.,49
3,x,10,John Keats,"Now a soft kiss - Aye, by that kiss, I vow an endless bliss.",60
2,,11,John Keats,I have so much of you in my heart.,34
5,x,12,John Keats,I cannot exist without you - I am forgetful of every thing but seeing you again - my Life seems to stop there - I see no further. You have absorb'd me.,151
2,,13,John Keats,A thing of beauty is a joy forever: its loveliness increases; it will never pass into nothingness.,98
3,x,14,John Keats,"With a great poet the sense of Beauty overcomes every other consideration, or rather obliterates all consideration.",115
2,,15,Emily Dickinson,"Truth is so rare, it is delightful to tell it.",46
4,x,16,Emily Dickinson,Tell all the truth but tell it slant--,38
4,x,17,Emily Dickinson,The truth I do not dare to know I muffle with a jest.,53
2,,18,Emily Dickinson,"That love is all there is, is all we know of love.",50
2,,19,Emily Dickinson,"Love is anterior to life, posterior to death, initial of creation, and the exponent of breath.",94
2,,20,Emily Dickinson,"Unable are the loved to die, for love is immortality.",53
2,,21,Emily Dickinson,Till I loved I never lived.,27
2,,22,Emily Dickinson,Morning without you is a dwindled dawn.,39
2,,23,Emily Dickinson,I argue thee that love is life. And life hath immortality.,58
2,,24,Emily Dickinson,"To love is so startling, it leaves little time for anything else.",65
3,x,25,Emily Dickinson,"Heart, we will forget him, You and I, tonight! You must forget the warmth he gave, I will forget the light.",107
4,x,26,Emily Dickinson,"We outgrow love like other things and put it in a drawer, till it an antique fashion shows like costumes grandsires wore.",121
3,x,27,Emily Dickinson,Behold this little Bane--The Boon of all alive--As common as it is unknown The name of it is Love.,98
2,,28,Emily Dickinson,Beauty is not caused. It is.,28
4,x,29,Emily Dickinson,"Beauty crowds me till I die, Beauty, mercy have on me! Yet if I expire to-day Let it be in sight of thee!",105
2,,30,Emily Dickinson,A charm invests a face imperfectly beheld.,42
5,x,31,Emily Dickinson,"I died for Beauty--but was scarce Adjusted in the Tomb When One who died for Truth, was lain In an adjoining Room.",114
5,x,32,Walt Whitman,"Only aware to-day of compact, all-diffused truth; / Discovering to-day there is no lie, or form of lie, and can be none, but grows as inevitably upon itself as the truth does upon itself.",187
4,x,33,Walt Whitman,"And that the truth includes all, and is compact, just as much as space is compact, / And that there is no flaw or vacuum in the amount of the truth--but that all is truth without exception.",189
5,x,34,Walt Whitman,Whatever satisfies the soul is truth.,37
3,x,35,Walt Whitman,It is a beautiful truth that all men contain something of the artist in them.,77
4,x,36,Walt Whitman,"I have loved many women and men, but I love none better than you.",65
2,x,37,Walt Whitman,"Love, that is day and night--love, that is sun and moon and stars, Love, that is crimson, sumptuous, sick with perfume, no other words but words of love, no other thought but love.",180
4,x,38,Walt Whitman,"Sometimes with one I love, I fill myself with rage, for fear I effuse unreturn'd love; But now I think there is no unreturn'd love--the pay is certain, one way or another.",171
5,x,39,Walt Whitman,"I give you my hand, I give you my love more precious than money, I give you myself before preaching or law; Will you give me yourself?",134
3,x,40,Walt Whitman,Be not dishearten'd--Affection shall solve the problems of Freedom yet; Those who love each other shall become invincible.,122
6,x,41,Walt Whitman,All beauty comes from beautiful blood and a beautiful brain.,60
2,x,42,Walt Whitman,"The soul is always beautiful, it appears more or it appears less, it comes or it lags behind, It comes from its embowered garden and looks pleasantly on itself and encloses the world.",183
2,,43,Walt Whitman,What beauty there is in words; what a lurking curious charm in the sound some words.,84
2,,44,Walt Whitman,Most works are most beautiful without ornament.,47
2,,45,Walt Whitman,Peace is always beautiful.,26
5,x,46,Ralph Waldo Emerson,Nothing is at last sacred but the integrity of your own mind.,61
4,x,47,Ralph Waldo Emerson,"The soul is the perceiver and revealer of truth. We know truth when we see it, let skeptic and scoffer say what they choose.",124
3,x,48,Ralph Waldo Emerson,"Every violation of truth is not only a sort of suicide in the liar, but is a stab at the health of human society.",113
