John Keats
Emily Dickinson
Walt Whitman
Ralph Waldo Emerson
Plotinus
Plato
Confucius
Lao Tzu
Vyasa
Buddha
King Solomon
Rumi
Rabindranath Tagore
Kahlil Gibran
Percy Shelley
Vincent van Gogh
Mahatma Gandhi
Oscar Wilde
Charlotte Brontë
Jane Austen
Christina Rossetti
William Shakespeare
Henry David Thoreau
Aesop
Bashō
William Hogarth
Gotthold Ephraim Lessing
Johann Winckelmann
Aristotle
Francis Bacon
Robert Graves
L. M. Montgomery
Maya Angelou
Chinua Achebe
Toni Morrison
Pablo Neruda
Gabriela Mistral
Frida Kahlo
Simone de Beauvoir
Wangari Maathai
Joy Harjo
Audre Lorde
bell hooks
Naguib Mahfouz
Hafez
Murasaki Shikibu
Li Qingzhao
Sojourner Truth
Simone Weil
Rigoberta Menchú
Chief Seattle
James Baldwin
Nguyễn Du
Sor Juana Inés de la Cruz
Rabia al-Adawiyya
Zora Neale Hurston
Mirabai
José Martí
Mary Wollstonecraft
Oodgeroo Noonuccal
Malala Yousafzai
Octavia E. Butler
Sappho
Dante Alighieri
Michelangelo Buonarroti
Johann Wolfgang von Goethe
Friedrich Schiller
Fyodor Dostoevsky
Leo Tolstoy
Rainer Maria Rilke
Langston Hughes
Kabir
Ibn ʿArabi
Du Fu
Sei Shōnagon
Li Bai
Léopold Sédar Senghor
Georgia O’Keeffe
Sylvia Plath
Margaret Atwood
T. S. Eliot
René Magritte
Thich Nhat Hanh
Nelson Mandela
Martin Luther King Jr.
Desmond Tutu
Albert Einstein
Marie Curie
Carl Sagan
Carl Jung
Viktor Frankl
Hannah Arendt
Jean-Paul Sartre
Albert Camus
Søren Kierkegaard
Ursula K. Le Guin
Gloria Anzaldúa
Chimamanda Ngozi Adichie
Wole Soyinka
Ama Ata Aidoo
Ben Okri
Mariama Bâ
Nawal El Saadawi
Fatema Mernissi
Ngũgĩ wa Thiong'o
Warsan Shire
Mahmoud Darwish
Yehuda Amichai
Forugh Farrokhzad
Saadi Shirazi
Omar Khayyam
Yunus Emre
Ibn Khaldun
Abai Kunanbay
Zhuangzi
Wang Wei
Xu Zhimo
Qiu Jin
Kim Sowol
Han Kang
Laxmi Prasad Devkota
Amrita Pritam
Kalidasa
Akka Mahadevi
Sri Aurobindo
Tukaram
B. R. Ambedkar
Faiz Ahmed Faiz
Parveen Shakir
Dalai Lama XIV (Tenzin Gyatso)
Pema Chödrön
Teresa of Ávila
St. Francis of Assisi
Meister Eckhart
Julian of Norwich
Hildegard of Bingen
Mother Teresa
Virginia Woolf
Allen Ginsberg
Adrienne Rich
Octavio Paz
Clarice Lispector
Jorge Luis Borges
Gabriel García Márquez
Isabel Allende
César Vallejo
Eduardo Galeano
Derek Walcott
Aimé Césaire
Louise Bennett-Coverley
Bob Marley
Sylvia Wynter
Edwidge Danticat
Louise Erdrich
Leslie Marmon Silko
Zitkala-Sa
Billy-Ray Belcourt
Ocean Vuong
Ta-Nehisi Coates
Rachel Carson
Greta Thunberg
Ada Lovelace
